iter	Passed	Remaining
777	2261	645
778	2264	642
779	2266	639
780	2269	636
781	2272	633
782	2275	630
783	2277	627
784	2280	624
785	2283	621
786	2285	618
787	2288	615
788	2291	612
789	2294	609
790	2296	606
791	2299	603
792	2302	600
793	2304	597
794	2307	595
795	2310	592
796	2312	589
797	2315	586
798	2318	583
799	2321	580
800	2323	577
801	2326	574
802	2329	571
803	2331	568
804	2334	565
805	2337	562
806	2339	559
807	2342	556
808	2345	553
809	2348	550
810	2351	547
811	2353	544
812	2356	542
813	2359	539
814	2362	536
815	2365	533
816	2367	530
817	2370	527
818	2373	524
819	2375	521
820	2378	518
821	2381	515
822	2384	512
823	2386	509
824	2389	506
825	2392	503
826	2394	500
827	2397	498
828	2400	495
829	2402	492
830	2405	489
831	2408	486
832	2410	483
833	2413	480
834	2415	477
835	2418	474
836	2421	471
837	2423	468
838	2426	465
839	2429	462
840	2431	459
841	2434	456
842	2437	453
843	2439	450
844	2442	448
845	2445	445
846	2448	442
847	2450	439
848	2453	436
849	2456	433
850	2458	430
851	2461	427
852	2464	424
853	2466	421
854	2469	418
855	2471	415
856	2474	412
857	2477	409
858	2479	407
859	2482	404
860	2485	401
861	2487	398
862	2490	395
863	2493	392
864	2495	389
865	2498	386
866	2501	383
867	2504	380
868	2506	377
869	2509	374
870	2512	372
871	2515	369
872	2517	366
873	2520	363
874	2523	360
875	2525	357
876	2528	354
877	2531	351
878	2533	348
879	2536	345
880	2539	342
881	2541	340
882	2544	337
883	2547	334
884	2549	331
885	2552	328
886	2555	325
887	2558	322
888	2560	319
889	2563	316
890	2566	313
891	2569	311
892	2571	308
893	2574	305
894	2576	302
895	2579	299
896	2582	296
897	2585	293
898	2587	290
899	2590	287
900	2593	284
901	2596	282
902	2598	279
903	2601	276
904	2603	273
905	2606	270
906	2609	267
907	2612	264
908	2614	261
909	2617	258
910	2620	255
911	2622	253
912	2625	250
913	2628	247
914	2630	244
915	2633	241
916	2636	238
917	2638	235
918	2641	232
919	2643	229
920	2646	227
921	2649	224
922	2652	221
923	2654	218
924	2657	215
925	2660	212
926	2662	209
927	2665	206
928	2668	203
929	2670	201
930	2673	198
931	2676	195
932	2678	192
933	2682	189
934	2685	186
935	2688	183
936	2690	180
937	2693	178
938	2696	175
939	2698	172
940	2701	169
941	2704	166
942	2706	163
943	2709	160
944	2712	157
945	2715	154
946	2717	152
947	2720	149
948	2723	146
949	2725	143
950	2728	140
951	2731	137
952	2734	134
953	2736	131
954	2739	129
955	2742	126
956	2744	123
957	2747	120
958	2750	117
959	2753	114
960	2755	111
961	2758	108
962	2761	106
963	2763	103
964	2766	100
965	2769	97
966	2772	94
967	2774	91
968	2777	88
969	2780	85
970	2782	83
971	2785	80
972	2788	77
973	2790	74
974	2793	71
975	2796	68
976	2799	65
977	2801	63
978	2804	60
979	2807	57
980	2809	54
981	2812	51
982	2815	48
983	2818	45
984	2820	42
985	2823	40
986	2826	37
987	2828	34
988	2831	31
989	2834	28
990	2836	25
991	2839	22
992	2842	20
993	2844	17
994	2847	14
995	2850	11
996	2853	8
997	2855	5
998	2858	2
999	2861	0
